"ID","Authors-Year","Title","Journal/Conference","Sensor / system configuration","Calibration target / scene geometry","Calibration objective","Introduction motivation/problem","Limitation of prior work","Data acquisition strategy","Automation level","Prior hand-eye estimate","Known target pose / geometry","Manual teaching / initialization","Number of robot poses","Pose diversity / motion selection / degeneracy","Real-time visual feedback controls motion","Considers target imperfection","Imperfection type","Treatment of imperfection","Author-stated limitations","Best Introduction category","Chinese claim supported","Verbatim / faithful English evidence","Page / Section","Precursor references to track","Relation to our work","Evidence confidence"
"P24","Zhong, Lin, Gong, Zhang & Wang—2025","Hand-eye calibration method for a line structured light robot vision system based on a single planar constraint","Robotics and Computer-Integrated Manufacturing 91","Eye-in-hand camera-plus-line-structured-light sensor; laser profile in image","Single common machined planar area","Calibrate hand-eye with arbitrary measurements and a single plane","Line structured light reduces image information; special 3-D objects and motion strategies hurt applicability","Patterns are invisible in stripe images; inappropriate poses worsen results; multiple nonparallel planes are inconvenient","Acquire arbitrary/random laser stripes and robot poses; iterative plane constraint with simulated-annealing initial-value rescue","manual/random acquisition; solver is automatic","Yes: rough hand-eye from previous calibration, CAD or manual measurement","Plane pose not precisely known; an ideal plane is inferred; object/base frames treated coincident in setup","Random measurements must be collected; automation only described as possible","Simulation varies count; real experiment count given in Sec. 4, not a single minimal claim","Rejects near-parallel pose pairs and discusses pose selection sensitivity; future special strategies","No","No explicit nonideal morphology","Common machined-surface imprecision acknowledged only as error source","Fits a single ideal plane; no shared morphology unknown","Explicitly worse reprojection/sphere errors than conventional precise targets; attributes this partly to common machined surface","RQ1-2D-profile limitation / RQ1-motion diversity / RQ2 ideal-plane conflict / Competitor","单平面随机采集能简化流程，但普通加工平面会降低球重投影精度，且该方法仍以理想平面解释数据。","“commonly machined surfaces is used ... rather than specialized calibration targets with high precision”","PDF p.9, Sec. 4.4 Discussion","Carlson et al. planar constraints; Sharifzadeh single-plane; Xu straight edges; arbitrary-object 3-D methods","direct competitor","High—2025 论文明确承认普通平面导致外部精度较差"
"P25","Xie et al.—2015","Hand-eye Calibration and Its Accuracy Analysis in Robotic Grinding","IEEE CASE 2015","Robot-mounted laser scanner","Known-radius standard sphere","Calibrate hand-eye and explicitly optimize scan region/motion directions for accuracy","Calibration accuracy controls blade geometry; prior sphere methods did not analyze center accuracy or motion direction","Blind sphere scanning and arbitrary motion overlook measurement geometry","Scan sphere in selected middle region; use robot XYZ-axis translations for best conditioning; separate rotation/translation","manual / predefined execution","Not stated","Known sphere radius","Robot scan positions/directions must be arranged","35 scan sets for scan-region study; 32 large poses for translation described","Explicit condition-number analysis; proves three orthogonal translation directions preferable","No","No","Sphere manufacturing precision assumed","Uses standard sphere; no tolerance estimation","Not stated","RQ1-motion diversity / Background","并非增加观测数量就必然提高精度；扫描区域和机器人运动方向会改变球心定位误差与方程条件。","“moving along XYZ coordinate axes are best ... during calibration”","PDF p.1, Abstract","Earlier sphere hand-eye methods [6]–[9] in Introduction","predecessor","High—精度因素有理论与实验支持"
"P26","Hagemann, Knorr & Stiller—2022","Modeling Dynamic Target Deformation in Camera Calibration","IEEE/CVF WACV 2022","Monocular cameras","Printed calibration target with static manufacturing error and per-image bending","Jointly estimate camera parameters, static target correction and dynamic deformation","Calibration targets deform while being moved; one global corrected geometry cannot explain transient shape","Existing imperfect-target methods mainly estimate one static geometry shared by all images","Bundle adjustment with shared static in-plane corrections plus per-image low-dimensional out-of-plane paraboloid","manual image acquisition; joint optimization","Requires conventional calibration initialization","Nominal grid/topology known; geometry corrections estimated","Yes: collect many target images","Dataset-dependent","Diverse views needed; focus is model selection rather than robot motion","No","Yes","Static in-plane geometry plus dynamic out-of-plane deformation","Static correction shared globally; dynamic coefficients estimated per image; 7-DoF gauge removed","More parameters always lower training error; independent test error/model selection required; target size/material limits generality","RQ2-target imperfection / RQ2-shared-geometry motivation","固定制造误差应跨观测共享，而每次搬动产生的动态弯曲应按观测建模；训练残差下降本身不能证明精度提高。","“The calibration target is likely to deform temporarily when moved”","PDF p.1, Abstract/Introduction","Strobl & Hirzinger 2011; Albarelli et al. 2010; imperfect-target camera calibration lineage","predecessor","High—静态/动态分解、gauge 和独立验证均明确"
"P27","Strobl & Hirzinger—2008","More accurate camera and hand-eye calibrations with unknown grid pattern dimensions","IEEE ICRA 2008","Monocular camera and eye-in-hand robot","Planar checkerboard with unknown global square scale/aspect","Jointly estimate camera, hand-eye and grid dimensions","Printed/manufactured grid dimensions are rarely exact and their error biases calibration","Conventional methods treat nominal pattern dimensions as exact","Add global grid scale/aspect parameters to camera/hand-eye maximum-likelihood optimization across views","manual acquisition; joint optimization","Conventional camera/HEC initialization","Pattern topology known; two global dimensions unknown","Yes: 10–15 diverse views recommended","Real tests around 15 images","View diversity recommended; no robot selection algorithm","No","Yes","Global planar target dimension/scale error","Two shared dimension parameters jointly estimated","Only dimensions, not arbitrary nonplanarity; absolute metric still needs a trustworthy length","RQ2-target imperfection / RQ2-shared-geometry motivation","即使标定板仍是数学平面，名义格距误差也会系统性偏置相机和手眼参数，尺寸应作为共享未知量估计。","“accurate knowledge about the dimensions ... does hardly exist”","PDF p.8, Conclusion","Lavest et al. 1998 inaccurate pattern; Zhang camera calibration; hand-eye ML formulations","predecessor","High—直接针对手眼和共享尺寸未知量"
"P28","Strobl & Hirzinger—2011","More Accurate Pinhole Camera Calibration with Imperfect Planar Target","ICCV Workshops 2011","Monocular/stereo cameras; extension discussed for hand-eye","Roughly planar checkerboard, including wrinkled paper","Jointly estimate camera intrinsics/extrinsics and full static target structure with minimal parameterization","Cheap planar targets are not perfectly flat; target errors can bias parameters despite low reprojection error","Prior calibration either assumes ideal plane or overparameterizes target geometry and pose","Bundle adjustment over all images with one shared 3-D target geometry; fix coordinate/scale gauge by minimal representation","manual image acquisition; joint optimization","Needs standard calibration initialization","Pattern correspondences/topology known; 3-D coordinates estimated","Yes: target must be fully observed and remain static","Multiple views; exact count dataset-dependent","Requires informative views; no robot motion controller","No","Yes","Full static imperfect planar-target geometry","Jointly estimated and shared across all views; explicit gauge removal","Target must remain static and be fully captured; improvements may be small for accurate rigid plates","RQ2-target imperfection / RQ2-shared-geometry motivation","同一块静止非理想平板的三维形貌应在所有观测中共享；若每幅图同时自由估计目标姿态和几何会产生规范自由度。","“the target remains static during calibration”","PDF p.8, Discussion/Conclusion","Lavest et al. 1998; Strobl & Hirzinger 2008 dimensions; photogrammetric self-calibration","predecessor","High—与 RQ2 的物理共享假设最接近"
"P29","Horn et al.—2021","Online Extrinsic Calibration Based on Per-Sensor Ego-Motion Using Dual Quaternions","IEEE Robotics and Automation Letters 6","Multiple heterogeneous sensors providing ego-motion","No calibration target; natural motion trajectories","Online extrinsic calibration from sensor ego-motions","Extrinsics can change; offline target calibration interrupts operation","Target-based methods need setup; motion-based calibration can be online but has observability/scale issues","Estimate each sensor trajectory then solve motion alignment incrementally with dual quaternions","online estimation; motion is not feedback-controlled for calibration","Needs an initial relation/consistent trajectory association depending on mode; exact requirement discussed in method","No target geometry","No target; platform must execute sufficiently exciting motion","Trajectory-length dependent","Explicit degeneracy/observability and scale discussion","No—sensor data estimate calibration, not command motion","N/A","No target","N/A","Requires accurate ego-motion and sufficiently exciting synchronized trajectories","RQ1-motion diversity / Background","在线求解并不自动保证可观性；基于运动的外参标定仍需要足够丰富且同步的运动。","“calibration ... based on per-sensor ego-motion”","PDF p.1, Title/Abstract","Daniilidis dual quaternions; hand-eye observability and targetless calibration literature","supporting literature","Medium—与 profiler 采集不同，但可支撑运动可观性背景"
"P30","Xing, Jing & Tan—2023","Reconstruction-Based Hand–Eye Calibration Using Arbitrary Objects","IEEE Transactions on Industrial Informatics 19","Eye-in-hand 3-D camera/scanner","Arbitrary daily objects in static scene","Jointly align multi-view point clouds and refine hand-eye without special rig","Special calibration rigs add preparation and restrict on-site flexibility","Featureless scenes and unknown correspondences challenge target-free calibration","Capture 3–8 point clouds from random viewpoints; ICP variant jointly refines hand-eye","manual/random acquisition; online-with-reconstruction computation","Yes: ICP initial hand-eye; tested up to 50 mm/10° perturbation","No target geometry; sufficient 3-D shape/overlap required","Robot viewpoints are selected/acquired; no feedback controller","At least three point clouds; eight recommended/used; 50 views for evaluation","At least two nonparallel rotation axes; two-cloud case is degenerate","No","Implicitly uses full scene","Complete static scene structure represented nonparametrically by point clouds","Not a target unknown in joint parametric model; ICP alignment","Poorly featured/spherical objects and robot pose error hurt accuracy; not for strict accuracy; sampling density left for future","Background / RQ1-motion diversity","任意场景重建法仍需至少两个不平行旋转轴和足够的三维重叠；二维窄轮廓不具备同等信息条件。","“At least two robot motions with unparallel rotation axes ... are recommended.”","PDF p.8, Discussion","General geometry calibration using free-form surfaces; ICP/FPFH registration; target-free HEC","supporting literature","High—退化、初值和物体形状局限均明确实验验证"
"P31","Albarelli, Rodolà & Torsello—2010","Robust Camera Calibration using Inaccurate Targets","BMVC 2010","Monocular/stereo cameras","Inaccurately printed nominal planar grid","Calibrate camera while recovering target geometry","Printing introduces systematic point-location errors; low reprojection residual can coexist with inaccurate calibration","Standard planar calibration trusts nominal target coordinates","Alternate camera calibration, bundle adjustment of one shared target geometry, and metric-scale alignment","manual image acquisition; iterative optimization","Standard calibration initialization","Grid correspondences known; geometry and scale refined","Yes; 200 images in experiment","200 images","Many views used; no robot motion selection","No","Yes","Full static target point geometry, mainly planar printing error","Shared geometry refined across all images; alternating rather than one monolithic solve","Absolute scale remains limited by unknown true target size; low internal residual is not sufficient validation","RQ2-target imperfection / RQ2-shared-geometry motivation","降低重投影残差并不能单独证明外参更准；不准确目标模型必须用独立几何任务验证。","“small residuals are not necessarily associated to accurate camera parameters”","PDF p.4, Sec. 2","Lavest et al. 1998 and camera self-calibration literature","predecessor","High—直接提出残差与真实性不等价"
"P32","Sharifzadeh, Biro & Kinnell—2020","Robust hand-eye calibration of 2D laser sensors using a single-plane calibration artefact","Robotics and Computer-Integrated Manufacturing 61","Eye-in-hand 2-D laser profiler","Single high-flatness plane","Hand-eye calibration using a simple single plane and optimized scan pattern","2-D sensors provide only a profile; 3-D artifacts/large manual datasets reduce simplicity","Single-plane problem needs sufficient input variation and suffers an initialization chicken-and-egg issue","Manually collect four lines and rough hand-eye/plane; simulate circular scan poses; automatically execute 48 optimized poses","semi-automatic then predefined/model-based execution","Yes: rough hand-eye manually measured","Plane pose estimated from initial scans; plane assumed ideal","Yes: four initial scans and crude hand-eye measurement","Four bootstrap lines + 48 optimized poses; 100/105 random baselines","Extensive rank/condition/input-variation analysis; circular pattern selected","No","No","Uses a ±21 µm high-flatness plate","Selects precise plane and fits ideal plane","Without initial hand-eye/known plane setup would require about 100 manual scans; optimized parameters not universal","RQ1-Bootstrap / RQ1-motion diversity / single-plane / Competitor","单平面二维轮廓标定存在明显启动依赖：在手眼和平面位姿未知时，后续优化扫描轨迹无法直接生成。","“an initial set-up is impossible without knowledge of hand-eye parameters”","PDF p.9, Discussion/Conclusion","Single/multiple-plane laser calibration; robot observation-strategy and condition-number literature","direct competitor","High—单平面、初始依赖、数量与自动执行边界均明确"
"P33","Lembono, Suárez-Ruiz & Pham—2019","SCALAR: Simultaneous Calibration of 2-D Laser and Robot Kinematic Parameters Using Planarity and Distance Constraints","IEEE Transactions on Automation Science and Engineering 16","Eye-in-hand 2-D laser scanner plus industrial robot","Flat plate at two placements plus known-distance holes","Joint robot kinematics, hand-eye and plane parameters","Robot kinematic and hand-eye errors jointly limit measurement; separate calibration propagates error","Existing methods calibrate subsystems separately and often require expensive metrology","Manually teach many poses scanning plate; add distance constraints from known holes; jointly optimize","manual / semi-automatic computation","Nominal robot and hand-eye parameters required","Plane pose at each placement estimated; hole distance known","Yes: poses and distance measurements arranged","100 total plane poses: 50 at each of two placements; 60 calibration/40 validation","Identifiability/gauge and excitation analyzed; many diverse poses used","No","Acknowledges but does not model","Plate flatness and surface/robot/scanner errors","Uses a plate specified flat within 0.05 mm; estimates only ideal plane pose","Requires manual work, known distance, nominal model; flatness listed as practical error source","RQ2 ideal-plane conflict / Background","联合估计平面位姿并不等于估计平面形貌；即使平面参数进入优化，板面平面度误差仍可污染残差。","“The flatness of the plate is within 0.05 mm.”","PDF p.6, Experiment","Earlier SCALARα; robot kinematic calibration and plane-constraint HEC references","direct predecessor","High—未知平面位姿与未建模平面度可清楚区分"
"P34","Pavlovčič, Arko & Jezeršek—2021","Simultaneous Hand-Eye and Intrinsic Calibration of a Laser Profilometer Mounted on a Robot Arm","Sensors 21","Eye-in-hand commercial laser profilometer with internal camera image","Precision-machined 3-D grooved target, geometry about 0.01 mm","Simultaneously calibrate profiler intrinsic and hand-eye parameters","Separate intrinsic/extrinsic procedures are cumbersome and error propagates; periodic recalibration should be automated","Existing methods require special steps and manual handling","Initial installation aligns sensor using live image and touches target corners; thereafter robot executes 15 predefined poses","predefined automatic execution after manual installation","Initial values from design geometry/alignment","Known high-precision 3-D target geometry and touched target pose","Yes: installation, live-camera alignment and corner touching","15 predefined poses at three distances and X/Y rotations","Pose set deliberately spans distances and rotations; no online selection","No","No","Target manufacturing accuracy only","Uses precision target; no unknown geometry","Initial installation remains manual; target is specialized; periodic execution under 10 min","RQ1-Automation / Competitor","高精度专用三维标定件可支持快速重复标定，但初次安装仍需人工对准和接触测量，运动为预定义执行。","“initial calibration ... requires some human intervention”","PDF p.20, Conclusion/implementation discussion","Structured-light simultaneous calibration and hand-eye target methods in Intro","direct competitor","High—自动周期标定与人工初装边界明确"
"P35","Carlson, Johansson & Robertsson—2015","Six DOF eye-to-hand calibration from 2D measurements using planar constraints","IEEE/RSJ IROS 2015","Eye-to-hand 2-D laser range sensor","At least three nonparallel planes at unknown positions","Calibrate 6-DoF extrinsic from 2-D measurements and unknown plane poses","Invisible sensor origin/axes make manual measurement tedious; one scan cannot recover full pose","Existing methods need known calibration object pose or restrictive mounting","Collect points from multiple nonparallel planes; alternately estimate hand-eye and plane equations","manual acquisition / offline iteration","Yes: crude hand-eye initial estimate","Plane poses unknown and estimated; planes are ideal","Yes: expose scanner to several planes","At least 9 points from ≥3 planes; experiment used five planes","Discusses collinear/random pose issues and convergence; plane orientation matters","No","No","None","Estimates ideal plane poses only","Requires crude initial estimate and multiple nonparallel planes; random points may converge slowly","RQ1-2D-profile limitation / RQ1-motion diversity","二维测量的六自由度外参需要多平面/多姿态补足缺失约束，且粗初值和观测分布影响收敛。","“requires a crude initial estimate of the hand-eye transformation”","PDF p.1, Introduction","Planar camera–laser calibration and eye-to-hand methods cited in Related Work","predecessor","High—前提和最小几何条件明确"
"P36","Gautam et al.—2025","Streamlined robotic hand–eye calibration of multiple 2D-profilers: A rapid, closed-form two-stage method via a single-plane artefact","Robotics and Computer-Integrated Manufacturing 95","Multiple stationary 2-D profilers observing robot-held deposition plate; primarily eye-to-hand","Flat deposition plane plus precision sphere for validation","Closed-form, minimal-pose calibration of multiple profilers","Manual TCP/extrinsic procedures and many poses impede additive-manufacturing deployment","Prior methods require user intervention, initial estimates or many scans","Robot executes six designed plate poses (three rotations, three translations); closed-form solution","predefined automatic execution","No prior hand-eye estimate claimed","Plane geometry treated ideal; TCP frame must be calibrated; plane pose follows robot","Initial TCP calibration/operator setup required; acquisition itself scripted","Six poses","Explicitly designs three rotational and three translational excitations; analyzes error sources","No","Acknowledges but does not estimate","Plane roughness/flatness","Average filtering and 2-D line fitting; no joint morphology model","TCP calibration depends on operator; millimeter-level accuracy; future error propagation/pose optimization","single-plane / RQ1-motion diversity / Competitor","已有工作可用六个预定义平面位姿完成多二维轮廓仪自动求解，因此不能宣称“首个自动单平面方法”。","“six distinct poses—three rotational and three translational”","PDF p.1, Abstract/Method overview","Sharifzadeh single-plane; disk/sphere/profile calibration comparison table","direct competitor","High—2025 直接竞争工作，自动化类型可由流程明确判定"
"P37","Yin et al.—2013","A Vision-Based Self-Calibration Method for Robotic Visual Inspection Systems","Sensors 13","Robot-mounted line-structured-light camera used as a TCP sensor; robot kinematic calibration","Fixed crosshair point moved to several workspace locations","Calibrate robot kinematics and TCP without external metrology","Robot nominal kinematic errors dominate system accuracy; external calibration equipment is expensive/time-consuming","Earlier self-calibration may leave unobservable parameters or propagate hand-eye error","Operator aligns sensor-defined TCP to a fixed crosshair at multiple poses and locations; identify kinematics","manual / semi-automatic computation","Avoids separate hand-eye by defining/calibrating TCP; nominal kinematics required","Crosshair point fixed but its global pose need not be metrologized","Yes: repeated visual alignment to crosshair","10 poses per target location; multiple target locations","Studies number/distribution of fixed points for observability","Visual image assists operator, but no autonomous robot feedback control stated","No","None","Ideal fixed point","Efficiency improvement left for future; manual alignments remain","RQ1-motion diversity / Background","观测数量与空间分布会影响机器人—传感器联合标定的可观性，但人工对点仍是部署负担。","“an optimal configuration on the number and distribution of fixed points”","PDF p.1, Abstract","Robot self-calibration/closed-loop kinematic calibration references [19]–[21]","supporting literature","High—不是手眼外参主问题，但观测分布证据可靠"
